Generation;Game;Gym name;Gym leader;Pokémon;Level;Gender;Move 1;Move 2;Move 3;Move 4;Held Item;Dynamax
1;Red;Pewter Gym;Brock;Geodude;12;N/A;Tackle;Defense Curl;;;;
1;Red;Pewter Gym;Brock;Onix;14;N/A;Tackle;Screech;Bide;;;
1;Red;Cerulean Gym;Misty;Staryu;18;N/A;Tackle;Water Gun;;;;
1;Red;Cerulean Gym;Misty;Starmie;21;N/A;Tackle;Water Gun;Bubble Beam;;;
1;Red;Vermilion Gym;Lt. Surge;Voltorb;21;N/A;Tackle;Screech;Sonic Boom;;;
1;Red;Vermilion Gym;Lt. Surge;Pikachu;18;N/A;Thunder Shock;Growl;Thunder Wave;Quick Attack;;
1;Red;Vermilion Gym;Lt. Surge;Raichu;24;N/A;Thunder Shock;Growl;Thunderbolt;;;
1;Red;Celadon Gym;Erika;Victreebel;29;N/A;Razor Leaf;Wrap;Poison Powder;Sleep Powder;;
1;Red;Celadon Gym;Erika;Tangela;24;N/A;Contrict;Bind;;;;
1;Red;Celadon Gym;Erika;Vileplume;29;N/A;Petal Dance;Poison Powder;Mega Drain;Sleep Powder;;
1;Red;Fuchsia Gym;Koga;Koffing;37;N/A;Tackle;Smog;Sludge;Smoke Screen;;
1;Red;Fuchsia Gym;Koga;Muk;39;N/A;Disable;Poison Gas;Minimize;Sludge;;
1;Red;Fuchsia Gym;Koga;Koffing;37;N/A;Tackle;Smog;Sludge;Smoke Screen;;
1;Red;Fuchsia Gym;Koga;Weezing;43;N/A;Smog;Sludge;Toxic;Self-Destruct;;
1;Red;Saffron Gym;Sabrina;Kadabra;38;N/A;Disable;Psybeam;Recover;Psychic;;
1;Red;Saffron Gym;Sabrina;Mr. Mime;37;N/A;Confusion;Barrier;Light Screen;Double Slap;;
1;Red;Saffron Gym;Sabrina;Venomoth;38;N/A;Poison Powder;Leech Life;Stun Spore;Psybeam;;
1;Red;Saffron Gym;Sabrina;Alakazam;43;N/A;Psybeam;Recover;Psywave;Reflect;;
1;Red;Cinnabar Gym;Blaine;Growlithe;42;N/A;Ember;Leer;Take Down;Agility;;
1;Red;Cinnabar Gym;Blaine;Ponyta;40;N/A;Tail Whip;Stomp;Growl;Fire Spin;;
1;Red;Cinnabar Gym;Blaine;Rapidash;42;N/A;Tail Whip;Stomp;Growl;Fire Spin;;
1;Red;Cinnabar Gym;Blaine;Arcanine;47;N/A;Roar;Ember;Fire Blast;Take Down;;
1;Red;Viridian Gym;Giovanni;Rhyhorn;45;N/A;Stomp;Tail Whip;Fury Attack;Horn Attack;;
1;Red;Viridian Gym;Giovanni;Dugtrio;42;N/A;Growl;Dig;Sand Attack;Slash;;
1;Red;Viridian Gym;Giovanni;Nidoqueen;44;N/A;Scratch;Tail Whip;Body Slam;Poison Sting;;
1;Red;Viridian Gym;Giovanni;Nidoking;45;N/A;Tackle;Horn Attack;Poison Sting;Thrash;;
1;Red;Viridian Gym;Giovanni;Rhydon;50;N/A;Stomp;Tail Whip;Fissure;Horn Drill;;
1;Red;Pokemon League;Lorelei;Dewgong;54;N/A;Growl;Aurora Beam;Rest;Take Down;;
1;Red;Pokemon League;Lorelei;Cloyster;53;N/A;Supersonic;Clamp;Aurora Beam;Spike Cannon;;
1;Red;Pokemon League;Lorelei;Slowbro;54;N/A;Growl;Water Gun;Withdraw;Amnesia;;
1;Red;Pokemon League;Lorelei;Jynx;56;N/A;Double Slap;Ice Punch;Body Slam;Thrash;;
1;Red;Pokemon League;Lorelei;Lapras;56;N/A;Body Slam;Confuse Ray;Blizzard;Hydro Pump;;
1;Red;Pokemon League;Bruno;Onix;53;N/A;Rock Throw;Rage;Slam;Harden;;
1;Red;Pokemon League;Bruno;Hitmonchan;55;N/A;Ice Punch;Thunder Punch;Mega Punch;Counter;;
1;Red;Pokemon League;Bruno;Hitmonlee;55;N/A;Jump Kick;Focus Energy;Hi Jump Kick;Mega Kick;;
1;Red;Pokemon League;Bruno;Onix;56;N/A;Rock Throw;Rage;Slam;Harden;;
1;Red;Pokemon League;Bruno;Machamp;58;N/A;Leer;Focus Energy;Fissure;Submission;;
1;Red;Pokemon League;Agatha;Gengar;56;N/A;Confuse Ray;Night Shade;Hypnosis;Dream Eater;;
1;Red;Pokemon League;Agatha;Golbat;56;N/A;Supersonic;Confuse Ray;Wing Attack;Haze;;
1;Red;Pokemon League;Agatha;Haunter;55;N/A;Confuse Ray;Night Shade;Hypnosis;Dream Eater;;
1;Red;Pokemon League;Agatha;Arbok;58;N/A;Bite;Glare;Screech;Acid;;
1;Red;Pokemon League;Agatha;Gengar;60;N/A;Confuse Ray;Night Shade;Toxic;Dream Eater;;
1;Red;Pokemon League;Lance;Gyarados;58;N/A;Dragon Rage;Leer;Hydro Pump;Hyper Beam;;
1;Red;Pokemon League;Lance;Dragonair;56;N/A;Agility;Slam;Dragon Rage;Hyper Beam;;
1;Red;Pokemon League;Lance;Dragonair;57;N/A;Agility;Slam;Dragon Rage;Hyper Beam;;
1;Red;Pokemon League;Lance;Aerodactyl;60;N/A;Supersonic;Bite;Take Down;Hyper Beam;;
1;Red;Pokemon League;Lance;Dragonite;62;N/A;Agility;Slam;Barrier;Hyper Beam;;
1;Red;Pokemon League;Blue (starter: Bulbasaur);Pidgeot;61;N/A;Whirlwind;Wing Attack;Sky Attack;Mirror Move;;
1;Red;Pokemon League;Blue (starter: Bulbasaur);Alakazam;59;N/A;Psybeam;Recover;Psychic;Reflect;;
1;Red;Pokemon League;Blue (starter: Bulbasaur);Rhydon;61;N/A;Tail Whip;Fury Attack;Horn Drill;Leer;;
1;Red;Pokemon League;Blue (starter: Bulbasaur);Exeggutor;61;N/A;Barrage;Hypnosis;Stomp;;;
1;Red;Pokemon League;Blue (starter: Bulbasaur);Gyarados;63;N/A;Dragon Rage;Leer;Hydro Pump;Hyper Beam;;
1;Red;Pokemon League;Blue (starter: Bulbasaur);Charizard;65;N/A;Rage;Slash;Fire Blast;Fire Spin;;
1;Red;Pokemon League;Blue (starter: Charmander);Pidgeot;61;N/A;Whirlwind;Wing Attack;Sky Attack;Mirror Move;;
1;Red;Pokemon League;Blue (starter: Charmander);Alakazam;59;N/A;Psybeam;Recover;Psychic;Reflect;;
1;Red;Pokemon League;Blue (starter: Charmander);Rhydon;61;N/A;Tail Whip;Fury Attack;Horn Drill;Leer;;
1;Red;Pokemon League;Blue (starter: Charmander);Arcanine;61;N/A;Roar;Ember;Leer;Take Down;;
1;Red;Pokemon League;Blue (starter: Charmander);Exeggutor;63;N/A;Barrage;Hypnosis;Stomp;;;
1;Red;Pokemon League;Blue (starter: Charmander);Blastoise;65;N/A;Bite;Withdraw;Blizzard;Hydro Pump;;
1;Red;Pokemon League;Blue (starter: Squirtle);Pidgeot;61;N/A;Whirlwind;Wing Attack;Sky Attack;Mirror Move;;
1;Red;Pokemon League;Blue (starter: Squirtle);Alakazam;59;N/A;Psybeam;Recover;Psychic;Reflect;;
1;Red;Pokemon League;Blue (starter: Squirtle);Rhydon;61;N/A;Tail Whip;Fury Attack;Horn Drill;Leer;;
1;Red;Pokemon League;Blue (starter: Squirtle);Gyarados;61;N/A;Dragon Rage;Leer;Hydro Pump;Hyper Beam;;
1;Red;Pokemon League;Blue (starter: Squirtle);Arcanine;63;N/A;Roar;Ember;Leer;Take Down;;
1;Red;Pokemon League;Blue (starter: Squirtle);Venusaur;65;N/A;Razor Leaf;Growth;Mega Drain;Solar Beam;;
1;Green;Pewter Gym;Brock;Geodude;12;N/A;Tackle;Defense Curl;;;;
1;Green;Pewter Gym;Brock;Onix;14;N/A;Tackle;Screech;Bide;;;
1;Green;Cerulean Gym;Misty;Staryu;18;N/A;Tackle;Water Gun;;;;
1;Green;Cerulean Gym;Misty;Starmie;21;N/A;Tackle;Water Gun;Bubble Beam;;;
1;Green;Vermilion Gym;Lt. Surge;Voltorb;21;N/A;Tackle;Screech;Sonic Boom;;;
1;Green;Vermilion Gym;Lt. Surge;Pikachu;18;N/A;Thunder Shock;Growl;Thunder Wave;Quick Attack;;
1;Green;Vermilion Gym;Lt. Surge;Raichu;24;N/A;Thunder Shock;Growl;Thunderbolt;;;
1;Green;Celadon Gym;Erika;Victreebel;29;N/A;Razor Leaf;Wrap;Poison Powder;Sleep Powder;;
1;Green;Celadon Gym;Erika;Tangela;24;N/A;Contrict;Bind;;;;
1;Green;Celadon Gym;Erika;Vileplume;29;N/A;Petal Dance;Poison Powder;Mega Drain;Sleep Powder;;
1;Green;Fuchsia Gym;Koga;Koffing;37;N/A;Tackle;Smog;Sludge;Smoke Screen;;
1;Green;Fuchsia Gym;Koga;Muk;39;N/A;Disable;Poison Gas;Minimize;Sludge;;
1;Green;Fuchsia Gym;Koga;Koffing;37;N/A;Tackle;Smog;Sludge;Smoke Screen;;
1;Green;Fuchsia Gym;Koga;Weezing;43;N/A;Smog;Sludge;Toxic;Self-Destruct;;
1;Green;Saffron Gym;Sabrina;Kadabra;38;N/A;Disable;Psybeam;Recover;Psychic;;
1;Green;Saffron Gym;Sabrina;Mr. Mime;37;N/A;Confusion;Barrier;Light Screen;Double Slap;;
1;Green;Saffron Gym;Sabrina;Venomoth;38;N/A;Poison Powder;Leech Life;Stun Spore;Psybeam;;
1;Green;Saffron Gym;Sabrina;Alakazam;43;N/A;Psybeam;Recover;Psywave;Reflect;;
1;Green;Cinnabar Gym;Blaine;Growlithe;42;N/A;Ember;Leer;Take Down;Agility;;
1;Green;Cinnabar Gym;Blaine;Ponyta;40;N/A;Tail Whip;Stomp;Growl;Fire Spin;;
1;Green;Cinnabar Gym;Blaine;Rapidash;42;N/A;Tail Whip;Stomp;Growl;Fire Spin;;
1;Green;Cinnabar Gym;Blaine;Arcanine;47;N/A;Roar;Ember;Fire Blast;Take Down;;
1;Green;Viridian Gym;Giovanni;Rhyhorn;45;N/A;Stomp;Tail Whip;Fury Attack;Horn Attack;;
1;Green;Viridian Gym;Giovanni;Dugtrio;42;N/A;Growl;Dig;Sand Attack;Slash;;
1;Green;Viridian Gym;Giovanni;Nidoqueen;44;N/A;Scratch;Tail Whip;Body Slam;Poison Sting;;
1;Green;Viridian Gym;Giovanni;Nidoking;45;N/A;Tackle;Horn Attack;Poison Sting;Thrash;;
1;Green;Viridian Gym;Giovanni;Rhydon;50;N/A;Stomp;Tail Whip;Fissure;Horn Drill;;
1;Green;Pokemon League;Lorelei;Dewgong;54;N/A;Growl;Aurora Beam;Rest;Take Down;;
1;Green;Pokemon League;Lorelei;Cloyster;53;N/A;Supersonic;Clamp;Aurora Beam;Spike Cannon;;
1;Green;Pokemon League;Lorelei;Slowbro;54;N/A;Growl;Water Gun;Withdraw;Amnesia;;
1;Green;Pokemon League;Lorelei;Jynx;56;N/A;Double Slap;Ice Punch;Body Slam;Thrash;;
1;Green;Pokemon League;Lorelei;Lapras;56;N/A;Body Slam;Confuse Ray;Blizzard;Hydro Pump;;
1;Green;Pokemon League;Bruno;Onix;53;N/A;Rock Throw;Rage;Slam;Harden;;
1;Green;Pokemon League;Bruno;Hitmonchan;55;N/A;Ice Punch;Thunder Punch;Mega Punch;Counter;;
1;Green;Pokemon League;Bruno;Hitmonlee;55;N/A;Jump Kick;Focus Energy;Hi Jump Kick;Mega Kick;;
1;Green;Pokemon League;Bruno;Onix;56;N/A;Rock Throw;Rage;Slam;Harden;;
1;Green;Pokemon League;Bruno;Machamp;58;N/A;Leer;Focus Energy;Fissure;Submission;;
1;Green;Pokemon League;Agatha;Gengar;56;N/A;Confuse Ray;Night Shade;Hypnosis;Dream Eater;;
1;Green;Pokemon League;Agatha;Golbat;56;N/A;Supersonic;Confuse Ray;Wing Attack;Haze;;
1;Green;Pokemon League;Agatha;Haunter;55;N/A;Confuse Ray;Night Shade;Hypnosis;Dream Eater;;
1;Green;Pokemon League;Agatha;Arbok;58;N/A;Bite;Glare;Screech;Acid;;
1;Green;Pokemon League;Agatha;Gengar;60;N/A;Confuse Ray;Night Shade;Toxic;Dream Eater;;
1;Green;Pokemon League;Lance;Gyarados;58;N/A;Dragon Rage;Leer;Hydro Pump;Hyper Beam;;
1;Green;Pokemon League;Lance;Dragonair;56;N/A;Agility;Slam;Dragon Rage;Hyper Beam;;
1;Green;Pokemon League;Lance;Dragonair;57;N/A;Agility;Slam;Dragon Rage;Hyper Beam;;
1;Green;Pokemon League;Lance;Aerodactyl;60;N/A;Supersonic;Bite;Take Down;Hyper Beam;;
1;Green;Pokemon League;Lance;Dragonite;62;N/A;Agility;Slam;Barrier;Hyper Beam;;
1;Green;Pokemon League;Blue (starter: Bulbasaur);Pidgeot;61;N/A;Whirlwind;Wing Attack;Sky Attack;Mirror Move;;
1;Green;Pokemon League;Blue (starter: Bulbasaur);Alakazam;59;N/A;Psybeam;Recover;Psychic;Reflect;;
1;Green;Pokemon League;Blue (starter: Bulbasaur);Rhydon;61;N/A;Tail Whip;Fury Attack;Horn Drill;Leer;;
1;Green;Pokemon League;Blue (starter: Bulbasaur);Exeggutor;61;N/A;Barrage;Hypnosis;Stomp;;;
1;Green;Pokemon League;Blue (starter: Bulbasaur);Gyarados;63;N/A;Dragon Rage;Leer;Hydro Pump;Hyper Beam;;
1;Green;Pokemon League;Blue (starter: Bulbasaur);Charizard;65;N/A;Rage;Slash;Fire Blast;Fire Spin;;
1;Green;Pokemon League;Blue (starter: Charmander);Pidgeot;61;N/A;Whirlwind;Wing Attack;Sky Attack;Mirror Move;;
1;Green;Pokemon League;Blue (starter: Charmander);Alakazam;59;N/A;Psybeam;Recover;Psychic;Reflect;;
1;Green;Pokemon League;Blue (starter: Charmander);Rhydon;61;N/A;Tail Whip;Fury Attack;Horn Drill;Leer;;
1;Green;Pokemon League;Blue (starter: Charmander);Arcanine;61;N/A;Roar;Ember;Leer;Take Down;;
1;Green;Pokemon League;Blue (starter: Charmander);Exeggutor;63;N/A;Barrage;Hypnosis;Stomp;;;
1;Green;Pokemon League;Blue (starter: Charmander);Blastoise;65;N/A;Bite;Withdraw;Blizzard;Hydro Pump;;
1;Green;Pokemon League;Blue (starter: Squirtle);Pidgeot;61;N/A;Whirlwind;Wing Attack;Sky Attack;Mirror Move;;
1;Green;Pokemon League;Blue (starter: Squirtle);Alakazam;59;N/A;Psybeam;Recover;Psychic;Reflect;;
1;Green;Pokemon League;Blue (starter: Squirtle);Rhydon;61;N/A;Tail Whip;Fury Attack;Horn Drill;Leer;;
1;Green;Pokemon League;Blue (starter: Squirtle);Gyarados;61;N/A;Dragon Rage;Leer;Hydro Pump;Hyper Beam;;
1;Green;Pokemon League;Blue (starter: Squirtle);Arcanine;63;N/A;Roar;Ember;Leer;Take Down;;
1;Green;Pokemon League;Blue (starter: Squirtle);Venusaur;65;N/A;Razor Leaf;Growth;Mega Drain;Solar Beam;;
1;Blue;Pewter Gym;Brock;Geodude;12;N/A;Tackle;Defense Curl;;;;
1;Blue;Pewter Gym;Brock;Onix;14;N/A;Tackle;Screech;Bide;;;
1;Blue;Cerulean Gym;Misty;Staryu;18;N/A;Tackle;Water Gun;;;;
1;Blue;Cerulean Gym;Misty;Starmie;21;N/A;Tackle;Water Gun;Bubble Beam;;;
